ID number,1a,1b,1c,2,3.a,3.b,3.c,3.d,3.e,3.f,3.g,4.a,4.b,4.b.name,StandardNames,4bApple,4bmingpao,4bsingtao,4bstar,4borient,4bothers,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.10.,5.11,6.a.,6b,6c,6d,6e,6f,6g,6h,7.a,7.b,7.c,7.d,7.e,7.f,7.g,7.h,7.i,7.j,8.a,8b,8c,8.d,8.e,8.f,8.g,8.h,8.i,8.j,8.k,8.l,9a,9b,9c,9d,10.aCleaned,10.bCleaned,10.cCleaned,10.dCleaned,10.eCleaned,10.fCleaned,10.gCleaned,10.hCleaned,10.iCleaned,10.jCleaned,11.a,11.b,11.c,11.d,11.e,11.f,12.a,12.b,12.c,12.d,12.e,12.f,13.a,13.b,13.c,13.d,13.e,13.f,13.g,13.h,13.i,13.j,13.k,13.I,13.m,13.n,13.o,13.p,14.a,14.b,14.c,14.d,14.e,14.f,14.g,15.a.Category,15.a.Category.v1,15.b.Category,15.b.Category.v1,15.c.Category,15.c.Category.v1,15.a.english,15.a.english.v1,15.b.english,15.b.english.v1,15.c.english,15.c.english.v1,17,18,19,20,21,22.a,22b,23,24,25,27.a,27.a_final,27.b,27.c,28.a,28.b,28.c,28.d,28.e,29.a,29.b,29.c,30,31,32,33,34,35,37,36a,36b,36c,36d,36e
1,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,NA,4,4,4,4,4,4,4,4,4,4,70,70,80,60,50,90,90,90,90,90,20,20,5,5,5,5,4,4,4,1,3,3,3,4,3,1,3,1,0,3,2,0,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,Personal,Qualifications,Qualifications,Qualifications,Qualifications,How old are you?,How old are you?,What is your working experience?,What is your working experience?,What is your working experience?,What is your working experience?,do not know,1200,6000,12000,TSW,1,0,1,1,NA,transport,transport,clean,NA,1,1,0,0,0,1,1,0,"1,200",student,HKMA,14,1,3,2,0,0,0,0,1
2,1,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,NA,4,4,4,3,3,4,3,4,3,4,80,80,70,90,90,80,80,60,70,80,90,50,7,7,6,5,4,3,4,4,3,3,1,4,3,3,3,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,Personal,Others,Others,Personal,Personal,How old are you?,How old are you?,How are you?,How are you?,Physical appearance,Physical appearance,Not thought,10000,13000,30000,TSW,1,0,1,1,1,transport,transport,housewife,NA,1,1,1,0,0,1,1,0,500,student,HKMA,14,1,1,1,0,0,0,0,1
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,NA,3,3,3,3,3,3,3,3,3,3,100,0,50,30,20,50,80,70,100,80,90,20,3,4,4,3,4,4,4,4,4,4,4,4,4,2,2,0,0,10,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Qualifications,Qualifications,,,,,What is your education level/what are your grades?,What is your education level/what are your grades?,Missing,Missing,Missing,Missing,NA,0,0,0,TSW,1,0,4,4,4,NA,NA,NA,NA,1,1,0,0,0,1,1,0,150,student,HKMA,13,1,2,2,0,0,0,0,1
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,NA,3,3,3,3,3,3,3,3,3,3,0,0,0,50,30,50,30,20,50,70,80,50,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Missing,Missing,Missing,Missing,Missing,Missing,NA,0,0,0,TSW,1,0,1,1,1,nurse,nurse,housewife,NA,1,1,1,0,0,1,1,0,0,student,HKMA,14,1,4,2,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,NA,3,1,1,1,3,1,1,3,3,1,30,30,30,40,30,50,50,50,10,40,20,30,4,3,3,3,3,3,3,3,3,3,2,2,3,3,5,2,0,10,2,0,3,2,0,3,0,0,brother,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Missing,Missing,Missing,Missing,Missing,Missing,desgin,0,0,0,KT,1,0,4,4,1,NA,NA,NA,NA,1,1,1,0,0,1,1,0,0,student,Yuen Long Catholic Secondary School,17,1,2,2,1,0,0,0,0
6,3.5,3.5,1,0,0,0,0,0,0,0,0,1,1,apple,apple,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,NA,3,3,3,2,3,3,3,2,3,3,40,40,50,70,70,60,50,70,80,90,30,40,3,5,6,5,3,3,3,2,3,3,2,2,3,2,5,3,2,5,2,0,0,0,0,0,0,0,Alex,Betty,Milly,Cherry,Jacky,Kitly,Leo,Picky,Jason,Anson,Amy,May,Jack,KiKi,Daisy,father,alex,Milly,Betly,Cberry,Anson,Jimmy,May,,,,,,,Missing,Missing,Missing,Missing,Missing,Missing,NA,0,0,0,TSW,1,0,1,1,1,teacher,teacher,housewife,NA,1,1,1,0,0,1,1,0,800,student,Tang Guohua,14,0,3,1,0,0,0,0,1
7,3.5,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,NA,4,4,4,4,4,4,4,4,4,4,60,70,50,40,100,90,80,70,40,30,20,10,3,3,3,4,4,4,4,4,4,4,4,4,4,4,8,0,0,3,0,0,8,0,0,3,0,0,aunt,alex,mary,billy,may,mother,father,jason,father,mother,alex,anson,jack,jacky,WTC,HNY,alex,alex,mary,mary,betty,cherry,milly,,,,,,,Missing,Missing,Missing,Missing,Missing,Missing,NA,0,0,0,TSW,1,0,1,1,1,bus driver,bus driver,bank,NA,1,1,1,1,1,1,1,3,"1,000",student,TICWSS,13,1,2,2,0,0,0,0,1
8,1,0,0,1,0,0,0,0,0,0,0,0,1,Ming Pao,Ming Pao,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,NA,4,3,3,3,3,3,3,4,4,4,10,10,20,80,50,40,60,60,80,0,60,80,4,5,4,4,3,3,4,4,3,3,3,3,3,3,2,1,0,4,3,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salary,Salary,Qualifications,Qualifications,Personal,Personal,What is your expected salary level?,What is your expected salary level?,How will you solve xxx problem?,How will you solve xxx problem?,Tell me about yourself,Tell me about yourself,the teacher,0,20000,30000,TSW,1,0,1,1,NA,SF,SF,Beauty,NA,1,1,0,0,0,1,1,0,500,student,TSWMC,16,1,3,1,0,0,0,0,1
9,2,0,0,1,0,0,0,0,0,0,0,0,1,Ming Pao,Ming Pao,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,3,3,3,3,3,3,3,3,3,3,50,50,50,50,50,50,50,50,50,50,50,50,6,4,6,2,3,3,3,3,3,3,3,3,3,3,2,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,Personal,Personal,Personal,Qualifications,Qualifications,What is your name?,What is your name?,How old are you?,How old are you?,Can you handle this job/can you do this job/how confident are you of doing this job/how well can you perform on this job,Can you handle this job/can you do this job/how confident are you of doing this job/how well can you perform on this job,barber,2000,3000,10000,TSW,1,0,1,2,NA,Clothing,Clothing,teacher,NA,1,1,0,0,0,1,1,0,"2,000",student,QESOSASS,14,1,3,1,0,0,0,0,1
10,3,1,4,1,0,0,0,0,3,4,0,0,1,apple daily,apple daily,1,0,0,0,0,0,1,1,0,0,0,1,0,NA,1,0,0,0,0,1,0,0,0,0,NA,3,3,2,3,3,3,3,3,3,3,30,20,40,70,30,30,80,90,20,0,50,0,5,4,3,4,3,3,3,2,3,3,4,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Company related,Company related,,,,,Do you trust this company,Do you trust this company,Missing,Missing,Missing,Missing,hea and highsalary,1000,10000,100000,LANTAU,1,0,NA,4,NA,NA,NA,Waiter,NA,1,1,1,1,1,1,0,0,750,0,TKWSS,14,1,3,1,0,0,0,0,1
11,10,9,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,NA,4,4,4,3,4,3,4,3,3,3,100,100,50,70,100,90,90,90,10,30,40,90,4,5,4,5,4,4,4,3,4,3,3,3,2,3,3,3,3,99,30,0,3,3,2,99,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Missing,Missing,Missing,Missing,Missing,Missing,psychologist,0,21000,30000,TSW,1,Tuen Mun Hospital,1,1,1,NA,NA,NA,NA,1,1,1,0,0,1,1,0,"1,000",student,TSWMC,16,1,4,1,1,0,0,0,0
12,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,NA,3,3,3,3,3,3,3,3,3,3,10,50,50,50,90,90,90,90,90,20,20,100,3,4,5,4,3,3,3,3,3,3,3,3,3,3,5,3,2,3,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,Personal,Personal,Personal,Personal,Personal,What is your name?,What is your name?,How old are you?,How old are you?,Where do you live/what is your living environment?,Where do you live/what is your living environment?,Interior design,10000,10000,10000,TSW,1,0,4,4,1,clerk,clerk,clerk,clerk,0,1,0,0,0,1,1,0,300,student,RESOSASS,14,1,3,2,0,0,0,0,1
